ParName   Value   Gradient
MGparm[2]      5.55738 -6.32982e-06
MGparm[3]      12.2745 -3.65821e-05
MGparm[4]            2  3.82698e-08
MGparm[5]         0.15  1.23723e-07
MGparm[6]         0.15 -3.02076e-08
SR_parm[1]      6.99782 -0.000101772
recdev1(1989) -0.000336159  3.47503e-06
recdev1(1990)     0.321713  3.49655e-06
recdev1(1991)     -0.12009  3.46641e-06
recdev1(1992)    -0.283889  3.45825e-06
recdev1(1993)    -0.232649  3.83882e-06
recdev1(1994)    -0.309802  3.34403e-06
recdev1(1995)       0.1594  3.50497e-06
recdev1(1996)     0.267289  3.33185e-06
recdev1(1997)   0.00747801  3.68958e-06
recdev1(1998)    0.0277409  3.32109e-06
recdev1(1999)     0.133421  3.52926e-06
recdev1(2000)     0.360815  3.43665e-06
recdev1(2001)     0.389858     3.28e-06
recdev1(2002)   -0.0877529  3.46668e-06
recdev1(2003)    -0.359617  3.52751e-06
recdev1(2004)     0.502363  3.09419e-06
recdev1(2005)     0.274597  3.30228e-06
recdev1(2006)    -0.104788  3.11575e-06
recdev1(2007)    -0.407513  3.02165e-06
recdev1(2008)     -0.58133  2.67329e-06
recdev1(2009)    0.0313545  1.26097e-06
recdev1(2010)    -0.105104  2.57897e-07
recdev1(2011)    -0.393454 -1.72077e-07
recdev1(2012)     0.741024 -1.37919e-05
recdev1(2013)    0.0802423 -1.04984e-05
recdev1(2014)     0.505815 -2.91897e-05
recdev1(2015)    -0.798671 -9.49437e-06
recdev1(2016)    -0.111109 -7.30137e-06
recdev1(2017)    0.0929942  3.39881e-06
Fcast_recruitments(2018)     0.146359  2.78333e-07
Fcast_recruitments(2019)      0.21711  6.07299e-07
Fcast_recruitments(2020)    0.0786124  4.08262e-07
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[1]      8.61746 -7.70959e-07
Q_parm[2]      8.41659 -2.55783e-07
selparm[1]      8.51648 -4.01385e-06
selparm[2]      2.28616  1.29871e-06
selparm[3]            8  5.15306e-08
selparm[4]      2.42778  4.96273e-08
selparm[5]           10  4.36301e-07
selparm[6]     0.705192   6.5988e-08
