ParName   Value   Gradient
MGparm[2]           10  1.09121e-08
MGparm[3]      13.1394  8.15368e-07
MGparm[4]     0.901291  1.26111e-07
MGparm[5]         0.15  1.07413e-09
MGparm[6]     0.135327  1.44548e-08
SR_parm[1]      6.87771  3.37167e-06
recdev1(1989)     0.218424 -1.11533e-07
recdev1(1990)     0.172372 -1.12275e-07
recdev1(1991)   -0.0762852 -1.03941e-07
recdev1(1992)    -0.251624 -1.22045e-07
recdev1(1993)    -0.197753  -1.1762e-07
recdev1(1994)    -0.161839 -1.00835e-07
recdev1(1995)     0.159759 -1.25713e-07
recdev1(1996)    0.0693289 -1.24735e-07
recdev1(1997)    0.0987779 -1.31812e-07
recdev1(1998)    -0.136705 -9.18413e-08
recdev1(1999)     0.101045 -9.35448e-08
recdev1(2000)     0.237033 -9.86791e-08
recdev1(2001)     0.320998 -9.73574e-08
recdev1(2002)   -0.0764751 -9.80703e-08
recdev1(2003)    -0.356584 -9.86155e-08
recdev1(2004)     0.240338 -3.97452e-08
recdev1(2005)     0.510842  -3.3502e-09
recdev1(2006)   -0.0621639  4.99241e-08
recdev1(2007)    -0.465579  2.62687e-08
recdev1(2008)    -0.414184  2.70337e-07
recdev1(2009)    -0.494086  3.79334e-07
recdev1(2010)    -0.254284  8.02987e-07
recdev1(2011)    -0.556832  6.37652e-07
recdev1(2012)     0.128187  1.22049e-07
recdev1(2013)     0.684674 -1.05752e-07
recdev1(2014)     0.304418 -8.76056e-08
recdev1(2015)     -0.66627 -9.58609e-08
recdev1(2016)   -0.0411144 -7.59331e-08
recdev1(2017)     0.424115 -8.04178e-08
recdev1(2018)     0.544114 -1.04879e-07
recdev1(2019)  -0.00264558  -1.1315e-07
Fcast_recruitments(2020)  2.65772e-05 -1.61227e-10
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[1]       8.5067  2.63348e-07
Q_parm[2]      7.93392 -3.16383e-08
selparm[1]      6.07981 -8.15811e-08
selparm[2]      15.8534 -3.39012e-08
selparm[3]     0.944803 -1.08138e-07
selparm[4]     0.101459  6.74612e-08
selparm[5]           10  2.44244e-09
selparm[6]       2.6512 -7.98456e-09
