"Year","Age0","Age1","Age2","Age3","Age4"
2010,387.622,95.988,8.96626,1.49645,0.956848
2011,962.333,282.652,67.1255,6.04809,1.59968
2012,739.266,211.485,49.0963,4.34926,1.13738
2013,509.873,137.589,30.3735,2.59148,0.660886
2014,312.248,76.7227,15.6226,1.25495,0.307391
2015,975.389,215.254,49.8834,9.6577,0.925577
2016,780.278,169.748,38.8552,7.45362,0.709953
2017,468.467,92.2526,19.3793,3.48681,0.318183
2018,254.043,43.9358,8.2522,1.36579,0.11786
2019,911.985,184.014,30.4598,5.50898,0.961489
2020,765.571,154.472,25.5696,4.62454,0.807126
2021,642.66,129.671,21.4644,3.88207,0.677541
2022,539.482,108.853,18.0183,3.25879,0.568759
