"Year","Age0","Age1","Age2","Age3","Age4"
2007,0.0671319,3852.28,517.403,105.305,77.2137
2008,7632.1,3422.4,436.039,86.4999,62.3528
2009,6585.34,2585.28,306.206,58.1507,40.7098
2010,5137.15,1764.38,192.21,34.5896,23.3563
2011,0.0683293,4170.61,1296.48,132.808,38.4367
2012,7281.55,3406.93,988.137,97.4486,27.4978
2013,5920.1,2382.52,632.683,59.0551,16.0613
2014,4138.22,1410.26,334.901,29.0074,7.50329
2015,0.0692564,3176.14,963.46,212.07,22.2394
2016,7685.52,2734.57,782.02,167.004,17.1642
2017,5439.33,1597.46,403.672,79.4578,7.7327
2018,3366.83,807.595,176.902,31.5695,2.87693
2019,0.0647544,2715.18,588.308,120.97,23.1023
2020,7540.65,2488.47,514.628,103.617,19.5135
2021,7461.87,2245.41,447.106,88.465,16.4661
2022,7149.75,2000.85,386.258,75.325,13.8832
