"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
2001,"8,307","NA","8,307","NA","710",533.464,"0.758",0.0642221671116975
2002,"12,719","NA","12,719","NA","0",1280.06,"0.771",0.100638394892841
2003,"10,590","3,941","10,590","NA","0",1015.54,"0.692",0.0959006563104962
2004,"8,721","NA","8,721","NA","0",125.857,"0.765",0.0144309080589588
2005,"7,767","NA","7,767","NA","608",66.8165,"0.667",0.00860233673436545
2006,"11,887","NA","11,887","NA","0",1708.7,"0.532",0.143747686509405
2007,"9,402","3,622","9,402","NA","0",919.885,"0.589",0.0978383529619478
2008,"7,724","NA","7,724","NA","0",232.038,"0.477",0.0300397313955701
2009,"6,755","NA","6,755","NA","883",1326.2,"0.492",0.19633445845917
2010,"12,042","NA","12,042","NA","0",2342.57,"0.531",0.194536531083393
2011,"9,104","2,575","9,104","NA","0",2051.32,"0.778",0.225318510691349
2012,"6,479","NA","6,479","NA","0",571.27,"0.811",0.0881736462249881
2013,"5,371","NA","5,371","NA","620",1158.9,"0.814",0.215758627366289
2014,"8,840","NA","8,840","NA","0",2433.47,"0.757",0.275277854763265
2015,"5,998","1,782","5,998","NA","0",1219.58,"0.672",0.203343315037248
2016,"4,393","NA","4,393","NA","0",26.3829,"0.794",0.00600605092061411
2017,"3,982","NA","3,982","NA","744",434.466,"0.862",0.109099264244281
2018,"9,306","NA","9,306","NA","0",1837.29,"0.780",0.197433235760616
2019,"7,095","1,617","7,095","NA","0",2685.41,"0.712",0.378492238217792
2020,"4,063","NA","4,063","NA","0",276.572,"0.839",0.0680782560749872
2021,"3,469","NA","3,469","NA","2,265",1754.34,"0.886",0.505711938426947
2022,"20,119","NA","20,119","NA","0",3553.27,"0.000",0.176610021223402
1989,"16,163","1,364","16,163","NA","0",3299.71,"0.526",0.204157128184822
1990,"12,157","NA","12,157","NA","0",438.975,"0.585",0.036109420242169
1991,"10,869","NA","10,869","NA","1,214",1470.64,"0.635",0.135305915907627
1992,"18,519","NA","18,519","NA","0",2424.78,"0.451",0.130933301654499
1993,"15,166","4,789","15,166","NA","0",1880.44,"0.349",0.123991322638287
1994,"12,253","NA","12,253","NA","0",1174.23,"0.495",0.0958312590283275
1995,"10,053","NA","10,053","NA","494",1351.94,"0.111",0.134485262665751
1996,"11,823","NA","11,823","NA","0",2267.35,"0.258",0.191777751463274
1997,"8,734","3,970","8,734","NA","0",2253.82,"0.481",0.258058975879749
1998,"5,808","NA","5,808","NA","0",868.779,"0.768",0.149570284927262
1999,"4,402","NA","4,402","NA","493",1051.18,"0.760",0.238779186381695
2000,"6,976","NA","6,976","NA","0",2213.05,"0.406",0.317234034013371
2001,"4,431","1,312","4,431","NA","0",1140.53,"0.758",0.257425764921499
2002,"3,011","NA","3,011","NA","0",206.378,"0.771",0.0685484058471646
2003,"2,551","NA","2,551","NA","937",235.826,"0.692",0.0924525047240452
2004,"9,810","NA","9,810","NA","0",2391.32,"0.765",0.243762264208643
2005,"7,160","970","7,160","NA","0",1413.98,"0.667",0.197470002011038
2006,"5,395","NA","5,395","NA","0",457.768,"0.532",0.0848477434445995
2007,"4,552","NA","4,552","NA","945",322.281,"0.589",0.0707956689739405
2008,"11,639","NA","11,639","NA","0",1620.62,"0.477",0.139235699434679
2009,"9,576","2,075","9,576","NA","0",1889.19,"0.492",0.197290427416121
2010,"7,152","NA","7,152","NA","0",981.521,"0.531",0.13724322502793
2011,"5,638","NA","5,638","NA","962",1286.49,"0.778",0.228165791713961
2012,"11,802","NA","11,802","NA","0",2314.54,"0.811",0.196120864967462
2013,"9,010","2,161","9,010","NA","0",2603.51,"0.814",0.288944676213402
2014,"5,920","NA","5,920","NA","0",1113.04,"0.757",0.188017007072767
2015,"4,374","NA","4,374","NA","975",644.267,"0.672",0.147295369434703
2016,"11,386","NA","11,386","NA","0",3500.45,"0.794",0.307426468650923
2017,"7,528","1,462","7,528","NA","0",2796.18,"0.862",0.371454570815593
2018,"4,386","NA","4,386","NA","0",622.915,"0.780",0.142030608010434
2019,"3,448","NA","3,448","NA","912",0.0174547,"0.712",5.06282594949559e-06
2020,"10,667","NA","10,667","NA","0",0.064502,"0.839",6.04693022340136e-06
2021,"10,259","1,952","10,259","NA","0",0.0716706,"0.886",6.98591521838722e-06
2022,"9,626","NA","9,626","NA","0",0.0305115,"0.000",3.16967689792085e-06
